Date,Total Sales
2021-10-09,592659.98
2021-10-10,754917.3700000001
2021-10-11,664212.3999999999
2021-10-12,1039543.2799999999
2021-10-13,627491.91
2021-10-14,611763.13
2021-10-15,793683.48
2021-10-16,537303.22
2021-10-17,315100.37
2021-10-18,413442.93
2021-10-19,192321.64
2021-10-20,545442.64
2021-10-21,837799.54
2021-10-22,506492.52
2021-10-23,773330.7100000001
2021-10-24,473861.22
2021-10-25,461610.62
2021-10-26,635027.4299999999
2021-10-27,887251.8099999999
2021-10-28,388129.89999999997
2021-10-29,1007664.4500000001
2021-10-30,647361.03
2021-10-31,714021.6300000001
2021-11-01,1380848.4300000002
2021-11-02,609334.78
2021-11-03,433822.81
2021-11-04,1074103.68
2021-11-05,626874.54
2021-11-06,633113.28
2021-11-07,712697.63
2021-11-08,290414.07
2021-11-09,1110088.25
2021-11-10,514337.26
2021-11-11,1042965.1599999999
2021-11-12,453031.74
2021-11-13,400454.88
2021-11-14,784907.28
2021-11-15,607802.38
2021-11-16,656937.16
2021-11-17,293653.94
2021-11-18,844969.36
2021-11-19,756340.87
2021-11-20,1350547.77
2021-11-21,815783.68
2021-11-22,840799.87
2021-11-23,532253.7
2021-11-24,975126.9099999999
2021-11-25,353816.19
2021-11-26,886387.8
2021-11-27,1090297.4
2021-11-28,465926.89
2021-11-29,896903.47
2021-11-30,448828.53
2021-12-01,323911.24
2021-12-02,1088709.3
2021-12-03,1076564.86
2021-12-04,543508.23
2021-12-05,722929.0700000001
2021-12-06,483476.72000000003
2021-12-07,600495.6
2021-12-08,998840.78
2021-12-09,889675.73
2021-12-10,550331.19
2021-12-11,276434.69
2021-12-12,1011171.5800000001
2021-12-13,1524246.23
2021-12-14,1256848.05
2021-12-15,459259.75
2021-12-16,659646.65
2021-12-17,350964.16000000003
2021-12-18,586148.3
2021-12-19,786464.8300000001
2021-12-20,410401.43
2021-12-21,1160770.08
2021-12-22,628757.96
2021-12-23,902025.5099999999
2021-12-24,1260040.56
2021-12-25,660096.2
2021-12-26,380628.57999999996
2021-12-27,691042.0599999999
2021-12-28,501823.45
2021-12-29,551365.94
2021-12-30,652981.21
2021-12-31,522157.52
2022-01-01,421295.89
2022-01-02,402716.54000000004
2022-01-03,502254.88999999996
2022-01-04,1396071.7999999998
2022-01-05,1030246.0900000001
2022-01-06,896684.68
2022-01-07,714371.6
2022-01-08,522696.52
2022-01-09,617133.26
2022-01-10,958894.5800000001
2022-01-11,830373.5800000001
2022-01-12,821094.6000000001
2022-01-13,363129.62
2022-01-14,618125.72
2022-01-15,900270.52
2022-01-16,567314.1299999999
2022-01-17,984101.5700000001
2022-01-18,232504.1
2022-01-19,1065330.23
2022-01-20,904767.69
2022-01-21,951214.98
2022-01-22,1174136.54
2022-01-23,374644.95
2022-01-24,959500.79
2022-01-25,345853.89
2022-01-26,382325.62
2022-01-27,621166.97
2022-01-28,982616.01
2022-01-29,778343.95
2022-01-30,1000869.46
2022-01-31,454601.38
2022-02-01,1262267.8199999998
2022-02-02,1094877.54
2022-02-03,699789.24
2022-02-04,579301.34
2022-02-05,738770.5800000001
2022-02-06,1017977.17
2022-02-07,419847.30000000005
2022-02-08,1156088.54
2022-02-09,350020.14
2022-02-10,454753.16
2022-02-11,740615.61
2022-02-12,507259.42000000004
2022-02-13,1140759.56
2022-02-14,826145.91
2022-02-15,866210.98
2022-02-16,979613.18
2022-02-17,492659.33999999997
2022-02-18,920120.8699999999
2022-02-19,320214.93
2022-02-20,382673.52
2022-02-21,639359.3999999999
2022-02-22,700568.87
2022-02-23,833637.1900000001
2022-02-24,161689.95
2022-02-25,798413.1599999999
2022-02-26,668330.0599999999
2022-02-27,457243.13
2022-02-28,355767.81
2022-03-01,610209.74
2022-03-02,1217225.78
2022-03-03,1025118.04
2022-03-04,707788.37
2022-03-05,682058.79
2022-03-06,882051.05
2022-03-07,1210358.7
2022-03-08,325030.9
2022-03-09,290553.93
2022-03-10,717667.97
2022-03-11,654080.1
2022-03-12,383121.18
2022-03-13,1127170.06
2022-03-14,472655.8
2022-03-15,1090101.48
2022-03-16,636169.2
2022-03-17,1149958.4
2022-03-18,757610.1
2022-03-19,534982.1799999999
2022-03-20,759700.24
2022-03-21,1271610.94
2022-03-22,1080167.32
2022-03-23,582257.24
2022-03-24,813833.81
2022-03-25,376213.13
2022-03-26,716312.0599999999
2022-03-27,703539.46
2022-03-28,660100.36
2022-03-29,1362097.4000000001
2022-03-30,544431.5
2022-03-31,1262382.97
2022-04-01,623066.37
2022-04-02,320116.63
2022-04-03,541060.28
2022-04-04,666536.4
2022-04-05,306590.81
2022-04-06,1002856.1599999999
2022-04-07,462388.70999999996
2022-04-08,592971.8400000001
2022-04-09,878129.5
2022-04-10,944339.27
2022-04-11,677621.35
2022-04-12,855417.8999999999
2022-04-13,988722.91
2022-04-14,399840.98
2022-04-15,641650.35
2022-04-16,271671.48
2022-04-17,1042639.0
2022-04-18,688675.19
2022-04-19,723791.8600000001
2022-04-20,489679.70999999996
2022-04-21,372764.36
2022-04-22,1022565.48
2022-04-23,578994.8300000001
2022-04-24,533812.8400000001
2022-04-25,555601.3500000001
2022-04-26,751937.01
2022-04-27,254788.45
2022-04-28,577224.65
2022-04-29,880392.14
2022-04-30,670206.1600000001
2022-05-01,1201620.02
2022-05-02,344337.56
2022-05-03,1009299.76
2022-05-04,989977.49
2022-05-05,353429.85
2022-05-06,368755.9
2022-05-07,689497.88
2022-05-08,961716.16
2022-05-09,888364.8099999999
2022-05-10,393013.76
2022-05-11,760337.81
2022-05-12,612298.04
2022-05-13,804472.89
2022-05-14,582814.36
2022-05-15,870002.8400000001
2022-05-16,641703.11
2022-05-17,1010517.1000000001
2022-05-18,495852.19999999995
2022-05-19,620410.27
2022-05-20,1325044.85
2022-05-21,687894.1400000001
2022-05-22,764383.5
2022-05-23,427043.49
