Date,Total Sales,Brand,Customer_Age_Group,City,Payment Method,Mobile Model,Day,Month,Year,Day Name
2021-10-09,61048.200000000004,Xiaomi,35-39,Ludhiana,UPI,Redmi Note 10,9,10,2021,Sat
2021-10-09,63391.14,Vivo,35-39,Delhi,Credit Card,Vivo Y51,9,10,2021,Saturday
2021-10-09,468220.64,Vivo,40-44,Mumbai,UPI,Vivo S1,9,10,2021,Saturday
2021-10-10,127819.9,Xiaomi,20-24,Mumbai,Credit Card,Mi 11,10,10,2021,Sunday
2021-10-10,144504.06,OnePlus,35-39,Gorakhpur,Cash,OnePlus 9,10,10,2021,Sunday
2021-10-10,111758.61000000002,Samsung,35-39,Jodhpur,UPI,Galaxy Note 20,10,10,2021,Sunday
2021-10-10,370834.80000000005,OnePlus,15-19,Delhi,Cash,OnePlus Nord,10,10,2021,Sun
2021-10-11,130035.34,Apple,30-34,Vadodara,Cash,iPhone 12,11,10,2021,Monday
2021-10-11,418850.76,Vivo,30-34,Delhi,UPI,Vivo Y51,11,10,2021,Mon
2021-10-11,115326.29999999999,Samsung,30-34,Mumbai,Debit Card,Galaxy A51,11,10,2021,Monday
2021-10-12,494222.72,Samsung,35-39,Madurai,Credit Card,Galaxy A51,12,10,2021,Tuesday
2021-10-12,181728.96,Apple,50-54,Delhi,UPI,iPhone 12,12,10,2021,Tuesday
2021-10-12,363591.6,Apple,20-24,Mumbai,Cash,iPhone 12,12,10,2021,Tuesday
2021-10-13,363117.33,Xiaomi,20-24,Hyderabad,Credit Card,Redmi Note 10,13,10,2021,Wed
2021-10-13,66475.74,Vivo,20-24,Chennai,Cash,Vivo V20,13,10,2021,Wednesday
2021-10-13,197898.84,Vivo,20-24,Mumbai,Credit Card,Vivo Y51,13,10,2021,Wednesday
2021-10-14,44098.86,OnePlus,50-54,Coimbatore,UPI,OnePlus Nord,14,10,2021,Thursday
2021-10-14,51293.14,Xiaomi,30-34,Delhi,Cash,Redmi Note 10,14,10,2021,Thu
2021-10-14,285502.05000000005,Xiaomi,15-19,Mumbai,Credit Card,Redmi Note 10,14,10,2021,Thursday
2021-10-14,230869.08,Xiaomi,30-34,Mumbai,Credit Card,Redmi Note 10,14,10,2021,Thursday
2021-10-15,163167.02999999997,Xiaomi,40-44,Coimbatore,UPI,Mi 11,15,10,2021,Friday
2021-10-15,331687.8,Vivo,20-24,Vadodara,Credit Card,Vivo S1,15,10,2021,Friday
2021-10-15,298828.65,Vivo,20-24,Kolkata,Credit Card,Vivo S1,15,10,2021,Fri
2021-10-16,112643.0,Xiaomi,40-44,Mumbai,Cash,Redmi Note 10,16,10,2021,Saturday
2021-10-16,266454.44,OnePlus,50-54,Delhi,UPI,OnePlus Nord,16,10,2021,Saturday
2021-10-16,158205.78,Samsung,55-59,Delhi,UPI,Galaxy Note 20,16,10,2021,Saturday
2021-10-17,151252.36,Samsung,30-34,Delhi,Cash,Galaxy A51,17,10,2021,Sunday
2021-10-17,126540.56,OnePlus,30-34,Vadodara,Debit Card,OnePlus 9,17,10,2021,Sunday
2021-10-17,37307.45,Xiaomi,50-54,Delhi,Cash,Redmi 9,17,10,2021,Sunday
2021-10-18,173418.88,Vivo,40-44,Delhi,Cash,Vivo Y51,18,10,2021,Mon
2021-10-18,136954.32,Samsung,40-44,Ludhiana,Debit Card,Galaxy Note 20,18,10,2021,Monday
2021-10-18,37607.03,Apple,45-49,Mumbai,Credit Card,iPhone SE,18,10,2021,Monday
2021-10-18,65462.700000000004,Apple,55-59,Rajkot,UPI,iPhone SE,18,10,2021,Monday
2021-10-19,108098.92,OnePlus,40-44,Mumbai,UPI,OnePlus 9,19,10,2021,Tuesday
2021-10-19,36194.9,Xiaomi,55-59,Kanpur,Debit Card,Redmi Note 10,19,10,2021,Tuesday
2021-10-19,48027.82,Samsung,55-59,Kolkata,UPI,Galaxy S21,19,10,2021,Tuesday
2021-10-20,37003.12,Xiaomi,40-44,Coimbatore,Debit Card,Redmi 9,20,10,2021,Wednesday
2021-10-20,242152.16,Samsung,45-49,Ludhiana,Credit Card,Galaxy Note 20,20,10,2021,Wednesday
2021-10-20,266287.36,OnePlus,50-54,Delhi,Debit Card,OnePlus 8T,20,10,2021,Wednesday
2021-10-21,49075.2,OnePlus,30-34,Delhi,UPI,OnePlus Nord,21,10,2021,Thursday
2021-10-21,458287.62,Apple,50-54,Delhi,UPI,iPhone 11,21,10,2021,Thursday
2021-10-21,330436.72,Xiaomi,20-24,Mumbai,Debit Card,Mi 11,21,10,2021,Thursday
2021-10-22,86436.56,Apple,50-54,Ludhiana,UPI,iPhone SE,22,10,2021,Friday
2021-10-22,78167.46,Xiaomi,20-24,Rajkot,Debit Card,Mi 11,22,10,2021,Friday
2021-10-22,341888.5,Apple,30-34,Chennai,UPI,iPhone SE,22,10,2021,Friday
2021-10-23,23287.05,Vivo,20-24,Madurai,Cash,Vivo V20,23,10,2021,Saturday
